year,month,interest_rate,unemployment_rate,index_price
2021,6,2.44,4.08,2735.49
2018,2,1.86,4.77,2870.33
2019,12,6.72,3.79,2637.06
2021,5,6.81,5.61,2577.33
2017,1,5.95,6.03,2678.74
2022,12,3.18,5.26,2707.39
2019,10,2.04,8.89,2747.39
2019,6,5.26,5.82,2668.43
2021,12,3.92,5.33,2668.56
2016,9,2.17,7.03,2741.66
2017,1,4.22,4.42,2777.85
2021,11,1.69,8.71,2764.93
2017,11,6.5,3.98,2723.77
2017,10,2.92,9.91,2660.86
2022,12,5.14,8.52,2761.01
2019,12,3.21,4.79,2715.33
2018,3,4.36,3.54,2726.17
2022,12,4.51,8.8,2607.56
2022,7,2.52,8.09,2637.01
2017,4,6.83,8.24,2581.42
2020,9,5.76,8.51,2612.03
2019,3,6.67,3.98,2644.15
2016,5,6.42,5.83,2578.73
2022,3,4.79,4.25,2638.4
2018,7,6.57,9.11,2478.99
